internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_03746,EE RES RAIPUR,1250000.0,0.8323948697323145,1.7259912780204312,1,1250000.0,1,1,CHHATTISGARH,Construction of community centers and community halls,INTERNAL_MP_092,BRIJMOHAN AGRAWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03747,GARAM PANCHAYAT TUTA,1250000.0,0.8323948697323145,1.7259912780204312,3,416666.6666666667,1,1,CHHATTISGARH,Construction of community centers and community halls,INTERNAL_MP_092,BRIJMOHAN AGRAWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03748,GP CHUKAN,1250000.0,0.8323948697323145,1.7259912780204312,1,1250000.0,1,1,MADHYA PRADESH,Construction of culverts and bridges,INTERNAL_MP_237,SMT HIMADRI SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03749,GP DEORI JAGIR JP SILWANI,1250000.0,0.8323948697323145,1.7259912780204312,2,625000.0,1,1,MADHYA PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_241,SHIVRAJ SINGH CHOUHAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03750,GP KHANNI UPARLY,1250000.0,0.8323948697323145,1.7259912780204312,12,104166.66666666667,1,1,HIMACHAL PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_141,RAJEEV BHARDWAJ,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03751,GP MOONDLAKHURD S,1250000.0,0.8323948697323145,1.7259912780204312,2,625000.0,1,1,MADHYA PRADESH,Construction of culverts and bridges,INTERNAL_MP_241,SHIVRAJ SINGH CHOUHAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03752,GP RAFEEQUEGANJ S,1250000.0,0.8323948697323145,1.7259912780204312,2,625000.0,1,1,MADHYA PRADESH,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_241,SHIVRAJ SINGH CHOUHAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03753,GRAM PANCHAYAT CHICHPOL IGR VRIDDHAWASTHA,1250000.0,0.8323948697323145,1.7259912780204312,4,312500.0,1,1,CHHATTISGARH,Construction of footpaths and pedestrian ways,INTERNAL_MP_092,BRIJMOHAN AGRAWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03754,GRAM PANCHAYAT LAMMETA,1250000.0,0.8323948697323145,1.7259912780204312,5,250000.0,1,1,CHHATTISGARH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_093,SANTOSH PANDEY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03755,GULLE MAHIPAL,1250000.0,0.8323948697323145,1.7259912780204312,3,416666.6666666667,1,1,TELANGANA,Construction of boundary walls of existing public and community buildings,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03756,JANPAD PANCHAYAT NIWALI,1250000.0,0.8323948697323145,1.7259912780204312,5,250000.0,1,1,MADHYA PRADESH,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_228,GAJENDRA SINGH PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03757,KAMALPUR GRAM PANCHAYAT,1250000.0,0.8323948697323145,1.7259912780204312,3,416666.6666666667,2,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_125,SHOBHANABEN MAHENDRASINH BARAIYA,80.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03758,KHAREDA GRAM PANCHAYAT,1250000.0,0.8323948697323145,1.7259912780204312,3,416666.6666666667,2,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_122,BHARATSINHJI SHANKARJI DABHI,60.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03759,RATHIKA B,1250000.0,0.8323948697323145,1.7259912780204312,1,1250000.0,1,1,TAMIL NADU,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",INTERNAL_MP_364,M.K. VISHNUPRASAD,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03760,SARPANCH GRAM PANCHYAT PANDAR,1250000.0,0.8323948697323145,1.7259912780204312,3,416666.6666666667,1,1,CHHATTISGARH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_086,VIJAY BAGHEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03761,STAR ENTERPRISES,1250000.0,0.8323948697323145,1.7259912780204312,2,625000.0,1,1,TAMIL NADU,Setting up of laboratories,INTERNAL_MP_358,THARANIVENTHAN M S,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03762,ISUZU MOTORS INDIA PRIVATE LIMITED,1249537.0,0.831925637931805,1.7250518686303529,1,1249537.0,1,1,KERALA,Forest conservation infrastructure,INTERNAL_MP_210,PRIYANKA GANDHI VADRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03763,ROFIKUL ISLAM,1249449.0,0.8318809491888993,1.724873319977379,2,624724.5,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03764,ASSISTANT ENGINEER TEKARI,1248909.0,0.8318362604459937,1.7237776805159488,3,416303.0,1,1,BIHAR,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_045,ABHAY KUMAR SINHA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03765,SWASTIKA CONSTRUCTION CO,1248886.0,0.831791571703088,1.7237310143907398,4,312221.5,1,1,RAJASTHAN,Construction of public libraries and reading rooms,INTERNAL_MP_350,SHRI HANUMAN BENIWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03766,JIBIN JACAB,1248805.0,0.8317468829601823,1.7235666684715252,1,1248805.0,1,1,KERALA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_195,SHRI HIBI EDEN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03767,GP GIRSA,1248797.0,0.8317021942172766,1.7235504367758003,3,416265.6666666667,1,1,CHHATTISGARH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_090,ROOP KUMARI CHOUDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03768,GRAM PANCHAYAT KOILIBEDA,1248516.0,0.831657505474371,1.7229802984634637,4,312129.0,1,1,CHHATTISGARH,Construction of additional rooms and halls in the existing public and community building,INTERNAL_MP_088,BHOJRAJ NAG,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03769,G DAYAKAR,1248449.0,0.8316128167314654,1.7228443580117676,3,416149.6666666667,1,1,ANDHRA PRADESH,Installing community drinking water plants,INTERNAL_MP_023,MADDILA GURUMOORTHY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03770,KADATHALA SWAMY REDDY,1247862.0,0.8315681279885597,1.7216533573379538,4,311965.5,1,1,TELANGANA,Construction of community centers and community halls,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03771,BHEEMAPPA,1247565.0,0.831523439245654,1.721050755634167,3,415855.0,1,1,KARNATAKA,Construction of bus-sheds or bus-stops,INTERNAL_MP_166,DR C N MANJUNATH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03772,AK SINGH,1247500.0,0.8314787505027483,1.7209188731064025,1,1247500.0,1,1,MADHYA PRADESH,Development of playground,INTERNAL_MP_238,DR. RAJESH MISHRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03773,RAKESH RAJU MAGAR,1247446.0,0.8314340617598427,1.7208093091602592,1,1247446.0,1,1,MAHARASHTRA,Construction of community centers and community halls,INTERNAL_MP_279,SUNIL DATTATRAY TATKARE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03774,SHARANAPPA,1247263.0,0.831389373016937,1.7204380091205527,4,311815.75,2,1,KARNATAKA,Lighting of public spaces,INTERNAL_MP_186,G. KUMAR NAIK,60.13,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03775,S M ENTERPRISES,1247050.0,0.8313446842740314,1.7200058402218772,5,249410.0,2,2,JAMMU AND KASHMIR,Installing tube-wells and borewells,INTERNAL_MP_147,AGA SYED RUHULLAH MEHDI,96.83,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03776,PALADI GRAM PANCHAYAT,1247000.0,0.8312999955311257,1.7199043921235968,3,415666.6666666667,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_128,DR. HEMANG JOSHI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03777,MANHA CONSTRUCTION,1246135.0,0.83125530678822,1.718149340023343,3,415378.3333333333,1,1,WEST BENGAL,Construction of water tanks,INTERNAL_MP_503,BAG MITALI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03778,GRAM PANCHAYAT DURUG,1245584.0,0.8312106180453144,1.717031381980291,2,622792.0,1,1,CHHATTISGARH,Installing tube-wells and borewells,INTERNAL_MP_087,KAMLESH JANGDE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03779,RASHTRIYA MAJUR KAMGAR SAH SANSTHA TELHARA,1245568.0,0.8311659293024087,1.716998918588841,4,311392.0,1,1,MAHARASHTRA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_243,ANUP SANJAY DHOTRE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03780,BR TREDING COMPANY,1245375.0,0.8311212405595031,1.7166073289294783,4,311343.75,1,1,RAJASTHAN,Construction of rooms and halls in school and colleges,INTERNAL_MP_350,SHRI HANUMAN BENIWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03781,SURYANSH ASSOCIATE,1244576.0,0.8310765518165975,1.7149861883189546,2,622288.0,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_434,RAM PRASAD CHAUDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03782,Y SRINIVAS,1244434.0,0.8310318630736917,1.7146980757198378,1,1244434.0,1,1,TELANGANA,Construction of boundary walls of existing public and community buildings,INTERNAL_MP_405,MADHAVANENI RAGHUNANDAN RAO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03783,MOHINI BOREWELL AND CONSTRUCTION COMPANY,1243773.0,0.8309871743307861,1.7133569318605688,2,621886.5,1,1,RAJASTHAN,Installing tube-wells and borewells,INTERNAL_MP_332,BHUPENDER YADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03784,BASANAGOUDA RUDRAGOUDA MALAGINAHALLI,1243119.0,0.8309424855878804,1.7120299907350587,4,310779.75,1,1,KARNATAKA,Construction of buildings for community cultural activities,INTERNAL_MP_181,BASAVARAJ BOMMAI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03785,SARDAR BELAVALLI COLONY ASK,1243102.0,0.8308977968449748,1.7119954983816434,5,248620.4,1,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_180,SHREYAS. M. PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03786,PATEL BROTHERS,1242215.0,0.8308531081020691,1.710195809118146,5,248443.0,1,1,MADHYA PRADESH,Establishing public ground water recharging facilities,INTERNAL_MP_240,SHRI ANIL FIROJIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03787,NILAVA GHOSHAL,1242015.0,0.8308084193591634,1.7097900167250237,1,1242015.0,1,1,WEST BENGAL,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",INTERNAL_MP_526,KHALILUR RAHAMAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03788,GRAM PANCHAYAT RAYAN,1241391.0,0.8307637306162577,1.7085239444584823,4,310347.75,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03789,THE QUALITY CO LC SOCIETY,1238945.0,0.8307190418733521,1.7035611034905966,2,619472.5,1,1,HARYANA,Construction of public libraries and reading rooms,INTERNAL_MP_135,MANOHAR LAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03790,JOY J S,1236975.0,0.8306743531304465,1.699564048418342,1,1236975.0,1,1,KERALA,Construction of culverts and bridges,INTERNAL_MP_207,DR SHASHI THAROOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03791,DUDUUKUNTA NARESH REDDY,1235920.0,0.8306296643875408,1.697423493544622,8,154490.0,1,1,TELANGANA,Street lights,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03792,BENGAL CONSTRUCTION,1235774.0,0.8305849756446351,1.6971272650976428,1,1235774.0,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_523,PRASUN BANERJEE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03793,GOVINDH CHOWHAN,1234854.0,0.8305402869017294,1.6952606200892801,4,308713.5,1,1,TELANGANA,Construction of boundary walls of existing public and community buildings,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03794,RANA ELECTRICAL WORKS,1233496.0,0.8304955981588238,1.6925052897399802,1,1233496.0,1,1,PUNJAB,Installing tube-wells and borewells,INTERNAL_MP_328,AMRINDER SINGH RAJA WARRING,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03795,POTHUGANTI SURENDER,1231998.0,0.8304509094159181,1.689465904715494,5,246399.6,1,1,TELANGANA,Installing tube-wells and borewells,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03796,THE RENUKA CO OP L AND C SOCIETY,1230450.0,0.8304062206730125,1.6863250715927278,1,1230450.0,1,1,HARYANA,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_137,DEEPENDER SINGH HOODA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03797,IDRISH MANSOORI,1230394.0,0.8303615319301068,1.6862114497226535,3,410131.3333333333,1,1,MADHYA PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_217,BUNTY VIVEK SAHU,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03798,MAHENDRA KUMAR VERNA,1230349.0,0.8303168431872011,1.6861201464342008,6,205058.16666666666,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_421,LALJI VERMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03799,AVK AND CO,1230000.0,0.8302721544442955,1.6854120387082026,1,1230000.0,1,1,TAMIL NADU,Construction of community centers and community halls,INTERNAL_MP_377,ANDIMUTHU RAJA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03800,C P MURALIDHARAN,1229874.0,0.8302274657013898,1.6851563895005353,1,1229874.0,1,1,TAMIL NADU,Construction of community centers and community halls,INTERNAL_MP_390,K SUBBARAYAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03801,ANBARASAN G,1229867.0,0.8301827769584842,1.685142186766776,1,1229867.0,1,1,PUDUCHERRY,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_318,VAITHILINGAM VE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03802,DHAMODHARAN M,1229625.0,0.8301380882155786,1.6846511779710982,1,1229625.0,1,1,TAMIL NADU,Construction of water tanks,INTERNAL_MP_379,ESWARASAMY K,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03803,BADRODDOZA SK,1228991.0,0.8300933994726728,1.6833648160849006,4,307247.75,1,1,WEST BENGAL,Lighting of public spaces,INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03804,A K CONSTRUCTIONS,1228703.0,0.8300487107297672,1.6827804750388042,2,614351.5,1,1,RAJASTHAN,Development of playground,INTERNAL_MP_341,KULDEEP INDORA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03805,SHYAMALI ENTERPRISE,1228066.0,0.8300040219868615,1.68148802626671,4,307016.5,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_519,SHRI ABHISHEK BANERJEE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03806,MAHESH SHAHI SON OF TEJ BAHADUR SHAHI,1227789.0,0.8299593332439559,1.6809260038022358,1,1227789.0,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_439,SHASHANK MANI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03807,SBRS INFRASTRUCTURE,1227760.0,0.8299146445010502,1.6808671639052328,2,613880.0,1,1,KARNATAKA,Construction of bus-sheds or bus-stops,INTERNAL_MP_165,SHOBHA KARANDLAJE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03808,POOSINI PRAVEEN GOUD,1227612.0,0.8298699557581445,1.6805668775343225,1,1227612.0,1,1,TELANGANA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_405,MADHAVANENI RAGHUNANDAN RAO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03809,ANIKET KUMAR SINGH,1227383.0,0.8298252670152388,1.6801022452441974,1,1227383.0,1,1,BIHAR,Construction of buildings for community cultural activities,INTERNAL_MP_063,SHRI JANARDAN SINGH SIGRIWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03810,GRAM PANCHAYAT KORTA,1224458.0,0.8297805782723332,1.674167531494784,3,408152.6666666667,1,1,CHHATTISGARH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_084,MAHESH KASHYAP,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03811,SUTRAPU RAJENDRA PRASAD,1224088.0,0.8297358895294276,1.6734168155675075,7,174869.7142857143,1,1,TELANGANA,Street lights,INTERNAL_MP_402,BALRAM NAIK PORIKA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03812,JYOTI SHARMA,1224000.0,0.8296912007865219,1.673238266914534,7,174857.14285714287,1,1,JAMMU AND KASHMIR,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_148,JITENDRA SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03813,P R B CONSTRUCTION COMPANY,1223877.0,0.8296465120436162,1.6729887045927636,2,611938.5,1,1,RAJASTHAN,Construction of boundary walls of existing public and community buildings,INTERNAL_MP_337,SHRI ARJUN RAM MEGHWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03814,VIJAYA KUMAR S,1223328.0,0.8296018233007105,1.671874804473643,1,1223328.0,1,1,KERALA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_207,DR SHASHI THAROOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03815,SAHYOG CONSTRUCTION,1223136.0,0.8295571345578049,1.6714852437762455,3,407712.0,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_496,SHRI NARENDRA MODI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03816,M SATYARAO AND CO,1222344.0,0.8295124458148992,1.6698783058994813,1,1222344.0,1,1,ANDHRA PRADESH,Construction of rooms and halls in school and colleges,INTERNAL_MP_003,C.M.RAMESH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03817,THE KARTIK CO OP L AND C SOCIETY LIMITED KACHROULI,1220933.0,0.8294677570719936,1.6670154405660036,1,1220933.0,1,1,HARYANA,Providing drains and gutters for public drainage,INTERNAL_MP_135,MANOHAR LAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03818,THE AADITYA COOPERATIVE LABOUR AND CONSRUCTION SOCIETY,1220852.0,0.8294230683290879,1.6668510946467892,2,610426.0,1,1,HARYANA,Construction of rooms and halls in school and colleges,INTERNAL_MP_135,MANOHAR LAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03819,EE EDD HARRAIYA,1220574.0,0.8293783795861822,1.6662870432203492,4,305143.5,1,1,UTTAR PRADESH,Improvement of electricity distribution infrastructure,INTERNAL_MP_434,RAM PRASAD CHAUDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03820,KOKKERA AJAY BABU,1220140.0,0.8293336908432766,1.6654064737272738,3,406713.3333333333,1,1,TELANGANA,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03821,AJIT BHUYAN,1219249.0,0.8292890021003709,1.6635986686159139,1,1219249.0,1,1,ASSAM,Construction of culverts and bridges,INTERNAL_MP_033,AMARSING TISSO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03822,OM PRAKASH SINGH YADAV,1218883.0,0.8292443133574653,1.6628560685365001,3,406294.3333333333,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_429,SANATAN PANDEY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03823,SHREE SAINATH CONSTRUCTION,1218537.0,0.8291996246145595,1.6621540476963987,2,609268.5,1,1,MAHARASHTRA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_289,AMAR SHARADRAO KALE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03824,ANSH ENTERPRISES,1218114.0,0.8291549358716539,1.6612957967849449,4,304528.5,2,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_496,SHRI NARENDRA MODI,62.74,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03825,BIJEPI BAGH,1214499.0,0.8291102471287483,1.6539610992792595,4,303624.75,1,1,ODISHA,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_299,PRADEEP PUROHIT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03826,INDEX ELECTRONICS,1213710.0,0.8290655583858426,1.6523602482883926,7,173387.14285714287,3,1,KERALA,Lighting of public spaces,INTERNAL_MP_206,DR. M.P ABDUSSAMAD SAMADANI,55.36,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03827,SUYOG SURESH THAKUR,1213485.0,0.829020869642937,1.6519037318461296,1,1213485.0,1,1,MAHARASHTRA,Construction of community centers and community halls,INTERNAL_MP_279,SUNIL DATTATRAY TATKARE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03828,SHREE SHYAM CONSTRUCTION COMPANY,1213269.0,0.8289761809000313,1.651465476061558,2,606634.5,1,1,RAJASTHAN,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,INTERNAL_MP_339,RAHUL KASWAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03829,PRAGYAN PARIMITA MOHANTY,1212470.0,0.8289314921571256,1.6498443354510344,4,303117.5,1,1,ODISHA,Construction of community centers and community halls,INTERNAL_MP_317,SHRI JUAL ORAM,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03830,LAXMI TRADERS,1210310.0,0.8288868034142199,1.6454617776053135,10,121031.0,3,2,UTTARAKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_500,AJAY BHATT,66.85,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03831,AKASH KUMAR,1210013.0,0.8288421146713143,1.644859175901527,3,403337.6666666667,3,2,RAJASTHAN,Construction of public libraries and reading rooms,INTERNAL_MP_079,DILESHWAR KAMAIT,96.84,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03832,SENIOR ACCOUNT OFFICER MPPKVVCL UJJAIN,1208921.0,0.8287974259284087,1.6426435494350793,1,1208921.0,1,1,MADHYA PRADESH,Purchase of non-conventional energy system and devices for community use,INTERNAL_MP_240,SHRI ANIL FIROJIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03833,UDAY KHULAL,1208890.0,0.828752737185503,1.6425806516141452,3,402963.3333333333,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_502,MANOJ TIGGA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03834,RAMESH P M,1208255.0,0.8287080484425973,1.641292260765982,1,1208255.0,1,1,KERALA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_204,VELLALATH KOCHUKRISHNAN NAIR SREEKANDAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03835,SHARMA CONSTRUCTION,1208028.0,0.8286633596996916,1.640831686399788,2,604014.0,1,1,MAHARASHTRA,Construction of community centers and community halls,INTERNAL_MP_250,PRATAPRAO JADHAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03836,THE JAT MATA DI COOP L AND C SOCIETY LTD,1207368.0,0.828618670956786,1.6394925715024848,2,603684.0,1,1,HARYANA,Construction of community centers and community halls,INTERNAL_MP_130,VARUN CHAUDHRY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03837,MS DIVYANSH CONSTRUCTION PRO PRAMOD KUMAR SINGH,1207264.0,0.8285739822138803,1.639281559458061,2,603632.0,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_439,SHASHANK MANI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03838,AMANDU KRUSHNA,1204555.0,0.8285292934709747,1.6337851014932196,5,240911.0,1,1,TELANGANA,Street lights,INTERNAL_MP_408,ARVIND DHARMAPURI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03839,D M TRADERS,1203802.0,0.828484604728069,1.6322572931331145,1,1203802.0,1,1,MAHARASHTRA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_270,NITIN JAIRAM GADKARI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03840,D SAKTHIVEL,1203689.0,0.8284399159851633,1.6320280204310003,2,601844.5,1,1,TAMIL NADU,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_376,V S MATHESWARAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_03841,DIVYANSH YADAV,1202495.0,0.8283952272422577,1.62960543984406,1,1202495.0,1,1,RAJASTHAN,Construction of community centers and community halls,INTERNAL_MP_352,MAHIMA KUMARI MEWAR,100.0,2026-08-26T10:44:17.312957+00:00
